Activity Name,Address,Region,Postcode,Latitude,Longitude,Activity Type,Day,Time,Type,Organisation,ran by,Referral service,YM Member,Age range,Website,Email,Contact Name 1,Number,Contact Name 2,Number.1,Activities,Unnamed: 22,Unnamed: 23,Unnamed: 24
Ideas Test,5a New Road Avenue,Chatham,ME4 6BB,51.382537,0.518568,Creative Expression,,,Creative activities,Ideas Test,Ideas Test,,Yes,,,contact@ideastest.co.uk,,07713865955,,,,,,Sports and Recreation
The Anchor,Medway Street ,Chatham,ME4 4HF,51.384323,0.520405,Creative Expression,Tuesday,15:30-17:40,Creative activities,Sun Pier,Sun Pier,,No,15-18,,info@sunpierhouse.co.uk,Libbie (Outreach Lead),01634 812800,,,,,,Education and Life Skills
Creative Arts,Woodlands Road,Gillingham,ME7 2BX,51.379571,0.567785,Youth Centre,Thursday,18:00-20:00,Creative activities,Medway council,Medway Council,,No,13-18,,,,,,,,,,Education and Life Skills
Medway Council Culture & Heritage team,Gun Wharf Dock Road,Chatham,ME4 4TR,51.389111,0.523988,Cultural and Identity,,,Cultural activities,Medway Council,Medway Council,,No,,,,,,,,,,,
Medway Culture Club ,Woodlands Rd,Gillingham,ME7 2BX,51.379571,0.567785,Cultural and Identity,Monthly Sessions,,Cultural activities,Medway Culture Club,Medway Culture Club,,Yes,8-16,,,,07466069145,,,,,,
Chatham Carnival,272 High Street ,Chatham,ME4 4BP,51.380632,0.528926,Social and Community,,,Cultural activities,Medway Council,Medway Council,,No,13+,,,,,,,,,,
Medway Young Person Drug and Alcohol Service,95-97 High Street ,Chatham,ME4 4DL,51.383868,0.521486,Health and Wellbeing,,,Drug and Alcohol,Open Road ,Open Road,Yes,Yes,10-25,www.openroad.org.uk,tyla.lyon@openroad.org.uk,T Lyon,07956168628,,,,,,
Fire Safety Session,Rochester Fire Station,Rochester,ME1 2FF,51.358344,0.506855,Education and Life Skills,Tuesday evenings,,Educational activities,Kent Fire and Rescue,Kent Fire and Rescue,,No,13-17,,educationlifeskills@kent.fire-uk.org,,,,,,,,Civic Engagement and Advocacy
Home Ed Stem Club,Maritime Way,Chatham,ME4 4QT,51.40256,0.538404,Education and Life Skills,Monthly Sessions ,,Educational activities,The Wonder Lab Project,The Wonder Lab Project,,No,7-15,,,,,,,,,,Health and Wellbeing
Stem Club,17 New Road,Chatham,ME4 6BA,51.38241,0.520716,Education and Life Skills,Wednesday,17:00-18:00,Educational activities,The Wonder Lab Project,The Wonder Lab Project,,No,5-10,,,,,,,,,,Health and Wellbeing
futureCodersSE CIC,New Road Avenue,Rochester,ME4 6BB,51.382537,0.518568,Digital and Employability,,,employability and work experience,FutureCoders,FutureCoders,,Yes,16-24,futureCoders,karen@futurecoders.org.uk,Karen Scott,07791769048,,,,,,Health and Wellbeing
Foyers at MHS Homes,Leviathan Way,Chatham,ME4 4LL,51.40122,0.532189,Housing and employability,,,employability and work experience,MHS holmes,MHS Holmes,Yes,Yes,16-25,Foyers supported living for ages 16-25 Medway | mhs homes,talie.coyne@mhs.org.uk,Talie Coyne,07734979188,,,,,,Health and Wellbeing
CEC Church Youth ,138 Ordnance Street,Chatham,ME4 6SE,51.376516,0.517102,Faith based,Fridays ,19:30-21:30 ,Faith based ,Church of England,Church of England,,No,11 - 18 ,,pastoral.care@cec4u.co.uk,Scott ,07385229738,Becky,7800975387.0,,,,Health and Wellbeing
